id,message_id,message_clean,language,sentiment_label,sentiment_score,sentiment_source,word_count,virality_score
121,130,sdu дрейн няшкалар бар ма?,kk,positive,0.6437,rembert-issai,5,121.2
122,131,гориллу оренж полностью убрали с продаж... они были самыми вкусными для меня,ru,negative,0.4793,rubert-tiny2,12,68.2
123,132,Кто во сколько пойдет спать? давайте вместе.,ru,neutral,0.9514,rubert-tiny2,7,64.6
124,133,"Мне нравился мой одногруппник и было явно заметно, что это взаимно..но после того как он начал общаться с одной компашкой он перестал со мной разговаривать. Не то чтобы обидно, но грустненько.",ru,negative,0.602,rubert-tiny2,31,63.8
125,134,"зашел однажды на сайт ночных бабочек, и там у одной было написано, куни мне 61000, я вообще прихуел тогда",ru,negative,0.4975,rubert-tiny2,19,114.2
126,135,"[URL] я думаю, парни сами в первую очередь становятся вежливыми и уважительным с теми, кто им нравится. а так пофигу ходят с покерфейсом. вот поэтому и думают, если девушка вежливая и отзывчивая, у нее жб симпатия. не всех парней касается, но во многих случаях так",ru,neutral,0.7665,rubert-tiny2,45,125.0
128,137,Где легенды прошло sdu ангиме? камакрези хаша квеквеасд пиробурек и еще кто то,ru,neutral,0.6978,rubert-tiny2,13,222.6
129,138,"ищу себе каблука который будет мной одержим и которого зовут пэк сиюн, найдись пж",ru,neutral,0.7966,rubert-tiny2,14,111.6
130,139,Хз пиробурек больше легенда чем канмаржан. Впервые тебя вижу а вот бурека много раз видел как и хашу с камакрези и квеквеасд. Вот они реально легенды прошлого sdu очень смешные комментарии оставляли жаль былых времен не вернуть,ru,negative,0.58,rubert-tiny2,37,112.8
131,140,еще ayimct деген болатын ет,other,pending_llm,0.0,llm_queue,5,110.6
133,142,Розыгрыш кароче донер в виде денег(3к тг) разыграю среди подписчиков. Результат tomorrow в 12. Следующий будет на 500 подписчиков но уже что-то по интереснее🤫,ru,neutral,0.8537,rubert-tiny2,24,228.0
134,143,Ищу заряженного жеребца с литрами 🤫🤫 писать мне [USER],ru,neutral,0.8786,rubert-tiny2,9,234.8
136,145,"Проходила мимо парня с татуировками вау, где можно сделать normal тату за адекватную цену 20тыщ-30тыщ тг? Спасиба заранее",ru,neutral,0.8481,rubert-tiny2,18,67.6
139,148,где можно купить бюджетный клаву и мышку для игр,ru,neutral,0.8972,rubert-tiny2,9,120.8
140,149,"хотела today познакомиться и найти друзей, но так стеснялась что так и не подошла ни к кому на жаса фесте, если увидите девушку которая гуляет одна, подходите знакомиться, так как она мб просто стесняется так же как я)",ru,neutral,0.646,rubert-tiny2,38,162.2
141,150,У кого зависимость от нафазалина как лечили?,ru,neutral,0.7493,rubert-tiny2,7,122.2
142,151,Что делать если подруга использует ваш чат как “избранное” кидает всякую хуйня по типу адресов в 2гис:/,ru,neutral,0.5172,rubert-tiny2,17,102.6
143,152,"подруга издим, желательно алматыдан чтоб бирге журип бирге кайтуга. Машинам бар😛",kk,positive,0.744,rembert-issai,11,161.2
144,153,"Грубо или нежно? можете реакцией ответить анонимно, первый лайк второй дизлайк",ru,neutral,0.6743,rubert-tiny2,11,486.8
145,154,Розыгрыш донера от sdu ангме. (3 к тг халыкка),ru,neutral,0.8197,rubert-tiny2,9,786.2
146,155,в 15:00 закончится today,ru,neutral,0.8204,rubert-tiny2,4,123.2
147,156,как на это реагировать,ru,neutral,0.8393,rubert-tiny2,4,277.8
149,158,есть кто сейчас в городе? или все в Каскелене,ru,neutral,0.9022,rubert-tiny2,9,70.8
150,159,Где можно курить в sdu ?,ru,neutral,0.922,rubert-tiny2,6,143.0
151,160,Если кто то угадает какое число я загадал от 1 до 100. Я куплю ему пончик 🍩. У каждого человека 1 попытка,ru,neutral,0.8376,rubert-tiny2,22,122.8
153,162,Икт 1 курс 4 задание істеп ебретін адам барма?,kk,positive,0.7493,rembert-issai,9,71.6
154,163,"когда мы гуляли, у него в обоих ушах были наушники. normal или стрем",ru,neutral,0.7506,rubert-tiny2,13,128.4
155,164,здесь нельзя материться да😔 admin: можно,ru,neutral,0.8517,rubert-tiny2,6,68.6
156,165,что за cycnet club в унике ?,ru,neutral,0.88,rubert-tiny2,7,67.4
157,166,"А когда вы через чат передаете эмоции(независимо какие), то как вы его преподносите? Думаете ли вы что подумает человек и с обратной стороны, уточняете ли вы сами поняли ли вы правильно или нет",ru,neutral,0.8647,rubert-tiny2,33,66.2
158,167,кто здесь админ,ru,neutral,0.9051,rubert-tiny2,3,64.6
159,168,Позовите сюда камакрейзи чтобы комментировал пж,ru,neutral,0.7382,rubert-tiny2,6,214.4
160,169,"Если буду устраивать мини игры по всему унику, есть ли те кто в этом будут участвовать? Мини игры это когда я буду мэйби квесты делать с загадками или что то в этом роде. Идея хорошая или нет? Жду мнение",ru,neutral,0.9171,rubert-tiny2,39,125.0
161,171,"Всем привет. В общем, я проспала тарих сегодня, но мы должны были сдать куиз. Можете подсказать у кого tomorrow утром урок Айдос ағайдын. Очень очень нужно 🥹",mixed_kk_ru,pending_llm,0.0,llm_queue,27,80.2
162,172,Ничего тупее не слышала,ru,neutral,0.6217,rubert-tiny2,4,206.8
164,174,"Что делать если ты девушка некрасивая и найти друзей сложно,типо ты думаешь что если они увидят тебя в жизни разочаруются🫠",ru,neutral,0.8632,rubert-tiny2,20,116.2
165,175,Через сколько дней или месяцев после знакомства нормально начинать встречаться?,ru,neutral,0.8842,rubert-tiny2,10,65.0
166,176,Давать и брать взятку - normal или стрем,ru,neutral,0.8144,rubert-tiny2,8,71.0
167,177,"Заебись что открыли новый ангме, ностальгия по первому второму курсу)",ru,neutral,0.6325,rubert-tiny2,10,189.4
168,178,откенды еске алып отырайык,other,pending_llm,0.0,llm_queue,4,180.6
169,179,"помню первый sdu ангиме. почти каждый второй либо пошлые истории присылал либо искал девушку 2 курса с ростом 155, черные волосы, радужные глаза, БШ",ru,neutral,0.7695,rubert-tiny2,24,65.0
170,180,"админ, почему конкурс не на хотя бы 300 подписчиков, я бля состарюсь до 500 admin: потомушт 300 уже на днях будет)",ru,neutral,0.718,rubert-tiny2,21,64.0
171,181,"поступал в 2020 году. уже идет 6 год. мне 23. возможно еще летом 2025 окончил бы, случились дела и не смог в ату приехать. на 2 курсе думал, а в пизду, все равно не стану айтишником, не нужна учеба и забил. сейчас у меня незакрытых 5 предметов, надеюсь в 2026 получу уже диплом. прихожу в уник, а тут первашки такие маленькие бля пиздец, ну пиздец видно сразу. ощущаю себя старым, мои teacher мои ровесники или даже младше меня на год походу. из старых знакомых никого нет, по крайней мере никого не увидел пока. хожу в university 2 раза в неделю, благо работа удаленная позволяет несмотря на все, рад что работаю в айти, в этом месяце предложили оффер с достойной зп, в три раза больше чем полгода назад. дисциплинирую себя, хожу в зал, просто хочу жить спокойно, работать, иметь хобби, путешествовать, сестренкам и родителям помогать, иметь рядом красивую, умную девушку, хотя за исключением последнего все и так имеется, иду к этому. пацанам скажу, да и всем, учитесь и дисциплину развивайте. я today не жалуюсь. а просто как опытный в жизни чел, делюсь опытом. если что пишите в комменты, стану вам старшим братом. всем силы и энергии и удачи",ru,positive,0.5293,rubert-tiny2,197,648.4
172,182,ровно 100 участников и осталось ровно 15 минут! Зовите друзей пусть все участвуют,ru,neutral,0.5509,rubert-tiny2,13,68.8
173,183,🎉 Розыгрыш завершен! 🏆 Победители: 1. [USER] 🔍 Проверить результаты,ru,neutral,0.6747,rubert-tiny2,10,168.2
174,184,что делать если парень не разрешает тебе играть в лигу (он дотер),ru,neutral,0.9018,rubert-tiny2,12,169.2
175,185,А что будет на Тазалык фест? Просто придем и будем убираться?,ru,neutral,0.8884,rubert-tiny2,11,68.8
176,186,"я родилась в ате, потом, когда была маленькая мы переехали в астану. когда кто-то спрашивает, откуда я, мне отвечать что я астанчанка? или алматинка?",ru,neutral,0.5264,rubert-tiny2,24,121.8
178,188,"Мужло под предыдущим постом пишут что то про рэйджбайт, но они никогда не поймут, что уже давно стали гайками в этой системе...",ru,negative,0.5114,rubert-tiny2,22,206.4
180,190,кто то смотрел аниме ТАКОПИ?,ru,neutral,0.9479,rubert-tiny2,5,120.8
181,191,как долго будет жить айтишка? меня волнует этот вопрос,ru,neutral,0.914,rubert-tiny2,9,68.6
182,192,"Бля Arcade club қа орын жетпей қалғанба клуб фестта?Қастарына баруға ұялдым , партада отыр екен(",kk,positive,0.5017,rembert-issai,15,123.6
188,198,"живу с парнем уже 2 месяца, и понимаю что он бытовой инвалид, он не убирает за собой, не готовит, не моет посуду, не помогает почти по дому, только еле еле когда я уже начинаю выходить из себя, мне все в нем нравится и как человек он хороший, но я не думала что бытовая жизнь с ним будет такой😭😭😭 что делать, помогите. поговорить пыталась уже, вроде бы меняется на class дней и опять, уже не могу терпеть это, расставаться или нет?",ru,neutral,0.5786,rubert-tiny2,80,203.8
190,200,У морских коней рожает не самка а самец),ru,neutral,0.8829,rubert-tiny2,8,221.0
191,202,балбес амынды шыгаратын адам екенсин,other,pending_llm,0.0,llm_queue,5,155.6
192,203,"normal зарабатывать 150~к будучи на 3 курсе, но не работая по специальности?",ru,neutral,0.83,rubert-tiny2,12,72.4
193,204,"никогда не понимала девушек и парней которые всегда говорят только о девушках парнях, отношениях, ""кыдырып кайтайк, кыздар вы где"", или ""цветы а потом пообщаемся"", в жизни дохуя чего есть, чего можно добиться и вообще о чем поболтать, как можно настолько скучно жить, я просто в шоке",ru,negative,0.5468,rubert-tiny2,46,221.2
196,207,где такого мужика найти,ru,neutral,0.9125,rubert-tiny2,4,166.2
197,208,вас обижает слово тёлка? или пох? admin: можете реально реакциями отвечать если не хотите писать,ru,negative,0.5226,rubert-tiny2,15,288.2
198,209,"Балбес легенда, про других не знаю! Я их не оскорбляю, но, Балбес прост имба чувак",ru,neutral,0.7738,rubert-tiny2,15,78.2
199,210,Как вам клаб фест?,ru,neutral,0.7875,rubert-tiny2,4,77.8
201,212,когда велком парти?,ru,neutral,0.939,rubert-tiny2,3,80.0
202,213,какая тематика в этом году на велком пати? admin: кто хедлайнер есть сливы? пока никто не превзошел кайрат братана,ru,neutral,0.6752,rubert-tiny2,19,206.8
203,214,Какой клуб самый активный? admin: как будто мюзикл и бейкерс,ru,neutral,0.809,rubert-tiny2,10,87.2
204,215,"Мне понравился Амир из тфл, 2 курс, в дебатном клубе состоит.У него есть девушка?",ru,neutral,0.5954,rubert-tiny2,14,367.2
205,216,Мне понравился камаз у него есть девушка?,ru,neutral,0.5815,rubert-tiny2,7,172.8
206,217,"Я сейчас на 3 курсе. У меня не было парня, даже друзей-мальчиков нет, только знакомые. Никогда не была влюблена, не целовалась, даже не обнималась с парнем, и ни одного цветка от парня не получала. Вроде я симпатичная, нормальная девушка. Смотрю на подруг у них есть парни, ухаживания, романтика… А я начинаю задумываться почему у меня никого нет? Ладно парень, даже друга-парня нет. С одной стороны, я верю, что когда нибудь появится мой человек. Но с другой может, у меня слишком высокие стандарты, и поэтому так? Как вы думаете?",ru,neutral,0.7702,rubert-tiny2,88,257.4
207,218,матчка вип место биреуден 350к алсам normal ба,ru,neutral,0.7676,rubert-tiny2,8,72.8
208,219,томбой > фембой 😈,ru,neutral,0.6851,rubert-tiny2,4,146.6
209,220,что думаете про ннн и скитлс кате емеспа кшкене,ru,neutral,0.8428,rubert-tiny2,9,120.0
211,222,"я ужасно сильно хочу подружиться с Абзалом, из домбыра клаб( я девушка)",ru,negative,0.7048,rubert-tiny2,12,170.0
212,223,но как смело? он всегда с друзьями(,ru,neutral,0.8026,rubert-tiny2,7,70.2
213,224,"можно ли сюда постить видео одного парня? просто я его не знаю и он мне понравился, на видео где его отрывок в сторонке из общего вида , просто ему мб неприятно будет а я хочу его найти admin: можно, но если думаете что ему не приятно будет то уже вам решать",ru,neutral,0.8331,rubert-tiny2,51,73.2
214,225,думаете normal подписаться на Абзала в инсте первой? не подумает ли чего? есть ли у него девушка? в целом какой он?,ru,neutral,0.8797,rubert-tiny2,21,72.8
215,226,"Жаздан бері сөйлесіп келе жатқан группаластарымен емес, айдаладағы қыздармен фотоға түсу normal или стрём?",kk,negative,0.6451,rembert-issai,14,73.4
216,227,Пытаться больше общаться с парнем который нравится normal при том что от него отдачи мало?,ru,neutral,0.885,rubert-tiny2,15,125.6
217,228,"Блин, расскажите всякие темные истории Сду. Жамандағаным емес, просто “парень, парень, парень”. Қызық әңгіме послушать хочется",kk,negative,0.5202,rembert-issai,16,225.6
218,229,как думаете стоит ли начинать общение с бывшим?я думаю что он просто колебается и не может заговорить со мной,ru,neutral,0.8714,rubert-tiny2,19,69.0
219,230,"Сага, съеби нахуй! Зачем ты присоединился в ламповый канал, где все круто, и няшно? Опять все сейчас испортишь своим присутствием",ru,negative,0.6197,rubert-tiny2,20,354.2
220,231,В каком возрасте лишаться девственности normal,ru,neutral,0.8451,rubert-tiny2,6,131.2
221,232,"при саге было интереснее и малолетки не писали детские посты по типу писать бывшему нет admin: во первых чату меньше 3 дней, во вторых это вы сами пишите посты",ru,neutral,0.6064,rubert-tiny2,29,238.4
222,233,Недавно обманул девушка в инсте было одно фото в реале совсем другое это норм?,ru,negative,0.6943,rubert-tiny2,14,186.4
223,234,Хотел бы найти подругу чтобы общаться гулять но хз где в унике найти на прямую идти знакомиться не камильфо,ru,neutral,0.8854,rubert-tiny2,19,209.8
225,236,"Нравится одна девушка уже 7-8 месяцев, мы еще ни разу не общались вживую, и я хз знает ли она вообще о моем существовании. Часто вижу ее в унике, знаю что у нас много общего, но слышал от других что ей нравится другой чел. Стоит ли ей написать?",ru,neutral,0.845,rubert-tiny2,47,83.2
226,237,стоит ли вступать в клубы где кастинг жесткий есть ли смысл ?,ru,neutral,0.9256,rubert-tiny2,12,69.2
227,238,"Как же бесит, овуляха в 10 раз сильнее мужского стояка😃 Тоесть девам буквально в этот момент хочется трахать стены и воздух, в нашей матке ебаный четвертый энергоблок. Но мы не насилуем мужланов блять💋 Ведь у женщин есть мозг, самообладание и мы сдерживаем себя (хотя это вредно для здоровья), в отличии от мэнов которые насилуют всех кто движется хотя их возбуждение просто ноль, по сравнения с овуляцией😊 ""Сильный пол"" даже свой 3 см микро хуек контролировать не может в трусах, это доказывает, что мужланы примитивные создания. Представьте мужчин с овуляцией?? Хуже гитлера🙏",ru,negative,0.5059,rubert-tiny2,91,429.6
228,239,Почему много хейта в сторону Сага,ru,neutral,0.8109,rubert-tiny2,6,119.6
229,240,что за сага? о винланде? admin: Админ прошлого sdu ангыме который закрылся год назад,ru,negative,0.5552,rubert-tiny2,14,97.4
230,241,"Когда я узнал, что появился новый канал, похожий на тот, что когда-то был у меня, я искренне обрадовался. Настроение сразу поднялось, ведь тот старый канал дарил мне столько тепла, уюта и улыбок. Надеюсь, многие подписчики тогда чувствовали то же самое, что и я. В самые тяжёлые и хуевые дни именно тот канал и люди в нём не давали мне сдохнуть в одиночестве. Я безмерно благодарен каждому, кто когда-то писал посты, комментарии, оставлял реакции. Сейчас я благодарен новым админам за то, что они подарили студентам (и новым, и старым)возможность снова почувствовать эту связь. Я по прежнему верю, что такие каналы объединяют людей, помогают каждому ощутить, что он не один. Жаль, что старый канал пришлось удалить,тогда просто не было другого выхода. Может быть, однажды я расскажу всю хуйню, что происходило с тем каналом и сам final историй. А пока, хочу пожелать всем отличного учебного года, тёплых эмоций и людей рядом, с которыми заебись💫 admin: ждем историю, почему старый канал закрыли",ru,negative,0.3946,rubert-tiny2,158,294.6
231,242,а че все риелторов не любят? они же нихуя не сделали,ru,negative,0.6482,rubert-tiny2,11,63.8
232,243,"Всем тем, кто спрашивает «а стоит ли?» Если вам кто-то нравится и вы все еще думаете о том, стоит ли начать знакомство здесь два исхода: 1. либо вы так и закончите university не познакомившись 2. либо познакомитесь, если не получится, забьете хер, зато не будете жалеть. и как говорил топлес: нам дается минимальный промежуток жизни чтобы осуществить все что нам хочется. ПРОБУЙТЕ, целуйте, трогайте, живите.",ru,neutral,0.8792,rubert-tiny2,65,414.4
