message_clean,llm_category,responsible_dept,pain_point,sentiment_label,virality_score
"Мне не кому выговорить это пусть будет здесь, до меня домогался муж моей сестры в 6-7 лет он и щяс иногда трогает за руки и спину(он прям держит руку) мне так противно от него, я сказала своей сестре и маме но они никак не отреагировали просто сказали что он ублюдок, был момент когда он даже как будто хотел изнс. но домой пришла сестра мне было так страшно, сейчас я вообще редко езжу домой к сестре. Он сейчас болеет и сидит на диалезе думаю карма его настигла но он все еще странно смотрит я не могу находиться рядом с ним такое ужасное чувство",mental_health,,бездействие семьи,negative,484.8
блять этот ебанный шарашкин мудл будет работать или нет именно в период midterm бля я в рот трахал этот university,infrastructure,IT департамент,не работает мудл,negative,471.2
"надо собратся и протестовать против заерытия С блока на ремонт пацаны.Как они могут просто выкинуть 200 человек на улицу?За день все места заняты.Могли хоть в сентябрепредупредить о ремонте чтоб пораньше варианты рассматривать.А сейчас просто хаос где жить , где хавать не понятно в некст семестре и деньгами проблемы появятся.",dorms,Общежитие,закрытие С блока,negative,468.8
"Бля, го петицию напишем, чтобы сверху бочек розетки починили",infrastructure,Общежитие,неисправные розетки,negative,468.4
в 3:00 я совершу суицид в алтын ауле спрыгнув с крыши я заебался от всего кто хочет может прийти или наоборот отговорить всем пока,mental_health,,доведение до отчаяния,negative,467.2
Бля степага дейин сонгы 5к қалай жеткизем 😭 смерть в нищете болып жатырм,scholarship,Финансовый отдел,не хватает денег,negative,450.8
"Китайский максат мусабек сожрал наши баллы что по префке, что по файналу. Мы всей группой бунтовали насчет неправильно посчитанных баллов префки, а он не изменил ничего. Не предупредив сразу поставил все на портал, хотя обещал сначала показать грейдбук и наши midterm перед тем как поставит оценки в портал. А теперь по файналам оценки довольно низкие, хотя практически все вышли уверены, что получим 35+, а поставил 30🤡 я была уверена что написала на 37+…",academics,Деканат,неправильный подсчет баллов,neutral,450.2
Посоветуйте как справиться с бесконечной депрессией и выгоранием. Уже с 10 класса до сих пор… Сейчас я на 3 курсе. Всегда абсолютно всегда мне морально плохо хоть и улыбаюсь. I’m really tired kinda I lost the meaning of the life,mental_health,,длительные проблемы с психическим здоровьем,negative,446.4
"Билайннын котын сыктым, ебучий интернет который в день по 3-4 раза выключается, а когда звонишь говорят что не знают причину проблемы, это пиздец, идите нахуй",infrastructure,IT департамент,частые отключения интернета,negative,438.6
Бля что с мудлом почему не работает,infrastructure,IT департамент,не работает мудл,negative,432.4
Осы баланың инстасы керек urgent,other,,недоступна инста,positive,425.6
"Бля, пиздес. Ибать мен тупоймын. қалай болганын сурамандар, бирак уш кзды аяк аур кылып жбердим. Бляя, енди не истейм? Ушеуде аборт жасамаймыз дейд анас. жағдай пздц. Бляя, не истейм наху? Шынында да далбаеб екенмин. Кузги гормондарды в рот ебал. Суукаа.",mental_health,,нежелательная беременность,negative,421.2
Зря я купил практику:(Меня отчисляют:),academics,Деканат,риск отчисления,neutral,420.8
"гайс, подскажите, где можно снять шлюху без обязательств мне urgent нужно и без рофлов",relationships,,снять без обязательств срочно,negative,398.6
"Только начинаю понимать вред от порно. Это просто как кандалы на руках, которые не дают мне свободно дышать. Пацаны кто поборол это пожалуйста помогите мне, я уже не могу. Обычное видео с белым мужиком меня не заводит, как будто при ПА с белым мужчиной женщина просто имитирует что ей нравится, а когда это происходит с темным мужчиной, то все кажется реальностью, меня заводит только такие видео. Как будто женщина может получить удовольствие только от огромной генеталии мужчины. Но я так устал от этого у меня у самого психологические проблемы с возбуждением. Каждый раз я обещаю себе не смотреть, но я смотрю и нарушаю обещание. Простите меня.",mental_health,,зависимость от порно,negative,397.4
"И это самая малая часть того, что мы можем рассказать. Потому что боимся за свою жизнь и что выйдет на нас. Она кстати нам угрожала. Сказала что с нами что-то случится если мы ее обидим. У нее есть такая способность. Ее уже трое обижали и они умерли.",mental_health,Служба безопасности,угрозы жизни,negative,395.0
ЧТО БЛЯТЬ С ИНТЕРНЕТОМ В sdu,infrastructure,IT департамент,нет интернета,neutral,390.6
"Не понимаю нахуй менять админов в Лост энд фаунде. Вообще нихуя не работают новые управляющие, бот не пашет, вещи везде валяются блять",admin,Административный отдел,неэффективная работа админов,negative,388.0
"16.02.26 Казир гана 3:20 да Сабак болып жаткан кезде Е 103 кабинеттен менин айфон зарядкамды розеткадан суырып алып кеткен бир студент. хоккей тусти шалбар, очки таккан, сур тусти ветровка киген студент кирип алып кеткен. Тез арада кайтаруынды сураймын.",dorms,Служба безопасности,пропала зарядка,pending_llm,386.2
"Я упала со степака. Дома сложный период с деньгами. Я пыталась поговорить с тичером,но без результата. Я не знаю как прожить следущий семестр..",mental_health,,нехватка денег,negative,385.6
"Бляять у меня был рейс в 20:30 из актау в алматы, в итоге сейчас 00:56 у нас посадка в шымкенте после того как час пытались приземлиться в алматы но в итоге не смогли хотя приехать должны были еще в 23:40. Мне очень страшно в шымкенте я нихера никого не знаю никого у меня там нету, хотела спросить мб есть те кто в том же рейсе сейчас или вы сталкивались с такой ситуацией?",other,,задержка и изменение маршрута,negative,384.8
"Негып осы sdu сеть устамайды унемы, ужасно просто, бырдене ыстеу киын",infrastructure,IT департамент,сеть не работает,negative,383.6
"Йооу не знаете когда мудл начнет работать? Я уже несколько часов пытаюсь ассаймент внедрить, но не получается",infrastructure,IT департамент,не работает мудл,neutral,376.4
"У кого есть контакты хорошего адвоката , по уголовным делам , меня обманули и через мою карту провели деньги и теперь хотят посадить за мошейничество и дроперство",other,,обман и уголовное дело,negative,374.6
"Пожалуйста кто живет в асыл армане разбудите моего друга пожалуйста 🙏🙏🙏у нас очень важная midterm отпишитесь пожалуйста, я скину денег",dorms,Общежитие,нужна помощь с будильником,negative,371.4
"Стипендия қашан түседі, точно бүгін түсе ма 😫 Зб уже ақша қатты керек",scholarship,Финансовый отдел,задержка стипендии,negative,355.6
"Я первокурсница и учитель домогался до меня. Я чувствую себя отвратительно , что мне делать?",mental_health,,домогательства учителя,negative,354.0
"Всем привет, это я Сага. Мне нужно urgent до конца зимы с кем то расписаться. Потом разведемся. Поспорил с человеком, все свое мужское поставил",relationships,,срочная регистрация брака,neutral,350.2
