message_clean,suggestion,llm_category,responsible_dept,virality_score
"В sdu осеки или ангиме в последний раз заходил в мае, тогда какой-то трэш был с ивентом и с каналом из за буллинга номинантов. В тот раз , не знаю чем именно закончилась ситуация, но я был за то чтобы осудить этих студентов на дисциплинарном комитете, я этот вопрос поднимал в ивенте и с администрацией универа. Но я не закончил это дело и хуй забил уже на каникулах. Так вопрос в том, связано ли закрытие первого канала с той ситуацией.? Я помню что у нас были прям тг аккаунты с которых лилась желчь на девочку, и все эти аккаунты даж не были фейками, тупо студенты перваши, втораши обсирают такую же студентку.🤬😤",осудить студентов на дисциплинарном комитете,admin,Административный отдел,122.6
Готе normal посты без пубертата. Неужели нету у вас в жизни ничего интересного кроме совокупление? Давайте действительно интересные темы обсудим а не заезженные пубертатные темы,обсудить интересные темы,humor,,497.6
"есть несколько вариантов решении к ситуации связанным с бесплодием девушки: 1) обговорить с девушкой еще раз, все обсудить, и обьяснить что для тебя наследство это важно. узнать чайлдфри ли она. Если поймет сходит с тобой к гинекологу. 2) расстаться, да говорить легко но других вариантов не вижу если партнер не понимает что для тебя важно, и не разделяет с тобой твои принципы/интересы то не вижу смысла строить с этим человеком дальше семью. совет от меня всем: если вам кто то понравился настолько что вы готовы в будущем создать с этим человеком семью, сначала узнайте во время отношений разделяет ли этот человек ваши взгляды на жизнь, его/ее лайфстайл. Так как отношения для этого и нужны, чтобы понять подходит ли этот человек тебе. А если нет, у вас не сходятся взгляды на серьезные темы как создание семьи/дети/родители/финансы то все, с этой точки нужно разойтись. Зачем тратите свое время на человека который тебе не подходит. Женитьба это серьезная тема, из за того что молодые сейчас обращают внимание на внешние факторы которое может быть у любого, как поженятся так и разводятся. Совет для тех кто хочет отношений, отношения это не хихихаха, а серьезность, в котором вы должны узнать человека полностью, анализировать, спрашивать чтобы в будущем не было таких вопросов и проблем. понимаю внешность, фигура все это важно, я не говорю не смотреть на эти факторы, да смотрите выбирайте сколько хотите но если узнаете что вы не сходитесь в серьезных, взрослых темах то расстаньтесь. Найдется другой человек который привлечет вас такими внешними факторами.","обсудить с девушкой, рассмотреть варианты",relationships,,334.6
"Раньше организовывал лютые тусы, хаты, горные пьянки. Но щяс впадлу собирать народ, друзей уже не так много, пьющих единицы. Так вот если кто сможет реально народ собрать, я на easy организую тусовку для всех желающих. Четам есть волонтеры?",организовать тусовку,events,,272.8
"Админ можно по меньше постов про религию, обсудив эти темы ничего не решиться и каждый останется при своем мнении, это просто бессмысленный спор admin: без проблем",ограничить посты,admin,Административный отдел,138.8
"пишу в поддержку для девушки которая писала выше про износ: ты очень сильная, уже от того что пережила это. надеюсь ты понимаешь что ты не виновата🙏🏻 не дави на себя учебой, от этого можно получить конкретный стрессак. есть горячие линии по казахстану (не знаю насколько хорошие, сама не проверяла, но надеюсь что это чем то поможет): 7 (708) 651-76-73 - онл сообщ жаным, вроде могут бесплатно помочь, им еще можно просто написать +7 708 983 28 63 / +7 727 376 56 60 - телефоны доверия в ате. центр нетерпи, у них нет номера но можно оставить заявку на сайте ""neterpi . com"" (написала с пробелами чтобы ссылка не мешала) насколько знаю они проводят class бесплатных консультаций может другим тоже понадобится admin: первый номер попросили поменять, если у кого то не работала попробуйте еще раз по этому",использовать горячие линии,mental_health,,528.6
"ребята которые страдают от таких вещей которые писали выше, пж крепитесь. воспользуйтесь контактами которые тоже написали, это никогда не будет лишним. не важно парень или девушка - все ваши проблемы имеют значение, остальные кто говорят что это нытье - вы хуесосы без эмпатии. пишу это потому что хочу максимально помочь. люди не пишут такие вещи в шутку, но многие к сожалению не воспринимают это всерьез (хотя кз находится в топе по суицидам, интересно почему) university это не навсегда, профессия тоже не навсегда, все всегда может поменяться, это в твоих руках. высказаться об этом, и понять что проблема в целом существует и что она значима - уже первый шаг, дальше больше. найди что то, что будет держать тебя здесь: артист, человек, хобби - не важно. но если у тебя есть хотя бы маленькое желание жить, держись за него",использовать контакты для решения проблем,mental_health,,342.2
"почему вас все как то бесят? разве не все равно? кто как одевается, у кого какая религия и ориентация? вас же это никак не касается, ладно если бы это как то вас коснулось, но нет же. Все живут сами по себе никого не трогают, и вы их тоже. будьте толерантными. Я сама считаю что раз меня что то из этого не касается то не мое дело, мне все равно, мне то они жить не мешают",быть толерантными,relationships,,394.0
тангы аска ауыр кетпейтн посттар салындаршы,публиковать мотивирующие посты,other,,168.4
"То что я поняла и вам тоже советую: —Ешкімге қарыз бермеу (жақынына да) —Ешкімге заттарынды , киімінді бере тұрмау —“Маған төлей тұр, кешке салып жіберем” деген сөздерге сенбеу —Ешкімге жоспарларыңды,арман-мақсатынды айтпау","не давать в долг, не одалживать вещи, не доверять обещаниям, не делиться планами",relationships,,333.0
"Мы должны убить мужчин и тд., потому что это край пиздеца☠ Девочки urgent удалите все свои фотки с соц сетей! И перестаньте общаться с особями пенисной характеристики! Сейчас без шуток, мужики сделали нейросети которые генерируют вас голыми и анимируют🤬 Это значит что вас смогут сгенерировать в видео сосущими 2 чёрных члена ультра реалистично, а потом дрочить на вас и рассылать в инете... И это не просто фейс свап, а вы😢 И если вы думаете, что вас не коснется вы ошибаетесь, это сейчас ультра популярно среди мэнов. Ебаный мир, пока женщины делают ии для спасения экологии, развития и улучшения жизни, мужло только развлекают свой микрочлен 🚩",удалить личные фото и ограничить общение,mental_health,,628.4
"слушай, ты совсем ебонулась? какого хуя ты вообще задаешь такие идиотские вопросы? если мужик не может сам написать, то он либо сосет, либо ты ему похуй. не унижайся, не бегай за этими мудаками, у которых яйца не доросли проявить инициативу. сиди и жди, пока к тебе приползут, а не расписывайся в своей отчаянной нужде.","не унижайся, жди инициативы",relationships,,234.6
"Мне 18, но иногда у меня всё ещё случаются ночные “промахи”. Обычно это происходит, если я перед сном пью слишком много воды или других жидкостей. Живу в общаге. Вчера легла спать в 4 утра и выпила три кружки воды. Проснулась в 6, вся постель мокрая. Сразу же отнесла бельё в прачечную, матрас пыталась протереть полотенцем, чтобы убрать запах. Постелила свежие простыни. Сейчас лежу и плачу. За что мне всё это? Утром руммейтки наверняка будут спрашивать, почему у меня другая постель😭😭",прачечная и уход за матрасом,mental_health,Общежитие,110.2
"Бырыншы курс окимын, скоро Уелком Парти бесплатно ма платно ма?? Быреудер платно дейды 5к быреулер перваштарга бесплатно дейды Точно айтындарш admin: бесплатно болат, не бойся, они эти деньги из твоего студ. взноса берут",бесплатно,events,admin,59.6
"Стоит поддерживать и закидывать идеи для продвижения канала. Не хочу чтобы такая х-я ассоциировалась с универем где я учусь. Советую и вам начать паблишить ваши идеи. Хочется чтобы еще предложка для постов была более удобнее, может не стоит использовать телеграм бота как агента, а кое что другое? admin: Предыдущий пост в предложке тоже ты написал я так понимаю, напиши свой юз, можешь нам помогать если есть большое желание",использовать другой инструмент для постов,admin,,87.8
"Админ, тебе стоит иногда держать тематику. Хотя бы в определенные дни. Вчера буквально сыграли Реал и Кайрат, а ты постишь трах трах ) Так же советую вести сду-новости, журналисты, если есть - начать продвигать и об этом обсуждать в sdu ангме. Ясно же что из последних 10 постов 9 - ии или паста из других 18+ пабликов admin: вчера уже поболтали на счет кайрата, нету смысла резину тянуть. трах трах всем залетело хз кто писал. Про sdu новости надо бы начать можешь со мной связаться?",улучшить тематику и добавить новости,admin,Административный отдел,135.2
Опросы не отправляются что ли ? admin: кружки и опросы пока не отправляются так что опрос кидайте текстом я сам сделаю,отправлять текстом,infrastructure,admin,62.4
"девушки, подскажите пожалуйста, как бы вы хотели, чтобы к вам подходили знакомиться? может быть какие-нибудь советы для парней",советы для парней,relationships,,111.0
"ответ тому кто спрашивает, просто подходите, поздоровайтесь, дальше уже спрашиваете можно ли взять инсту. Говоришь что хочешь познакомиться поближе, и все дальше через инсту пишешь итд",подойти и поздороваться,relationships,,103.0
"admin: хватит кароче про секс. Другую темуу moder: ++, там дохуя запросов поста про эту тему, давайте чот другое",сменить тему,admin,Административный отдел,164.8
"По поводу последнего поста, я думаю чел нормальную тему выкатил, не надо агриться на него, я тоже задумался об этом admin: он про тот пост с картинкой",не реагировать резко,admin,,64.0
"Мальчики, никогда в жизни не кидайте дикпики девочкам. Это самое последнее что мы хотим увидеть в своей жизни! Даже мужикам не нравится как выглядит хуй. Нам нравятся фотки вашего тела, торса, рук, да хоть фото из качалки, или миленькое личико, или же просто фотки в деловом стиле, но сука блять не ваши ебанные члены! Так что если хотите возбудить женщину, кидайте любые красивые, сексуальные фотки но не вашего члена",уважать личное пространство,relationships,,416.8
"Давайте вписку устроим пишите я или группу создайте, бухать будем",создать группу для вечеринки,events,,502.2
"челу кого френдзонит подруга и устраивает эмоц. качели. забей на нее, либо отвечай тем же, как тебе позвонит и скажет ты же ухаживаешь за мной, скажи эм нет мы же друзья, и дальше пошло поехало, отзеркалить надо ее манипуляцию. Пусть потом сама страдает, устрой то же что и она тебе)",отзеркалить манипуляцию,relationships,,155.8
"мужики, я вам скажу, только бля девушки не заебывайте в комментах матами, если есть что сказать, доносите без матов. короче, пацаны, да конечно, подходить знакомиться надо, общаться и тд, ведь мы не роботы и нам девушки нравятся. подходим мы мужики первые, потому что мы более похуистичны чем девушки, мы увереннее, у нас тестостерон. девушки кто пиздят в комментах, в жизни тебе те же самые слова не скажут один на один в лицо, если ты конечно достойный мужик. как подходить знакомиться, советы просить не надо, факт в том что многие девушки говорят одно, а если делаешь то что они скажут, будут выебываться по другому, это такая конфигурационная хуйня. чтобы подходить знакомиться тебе не нужны советы от девушек, тебе нужно качать уверенность. а она качается тренировками, занятием собой, каждый день улучшаться и этим ты будешь самоутверждаться, увереннее становиться. в сторону девушек хейта нет, просто заебали некоторые особи, которые начитались тиктока, либо их парень использовал и бросил, либо просто жирные непривлекательные, поэтому на них ни у кого хуй не стоит, в общем поняли😂. о да хейтеры я вас люблю",общаться без матов,relationships,,171.8
Как вам идея с каналом для свиданий вслепую? Бот будет подбирать партнера в зависимости от интересов и тд.,бот для подбора партнера,relationships,,186.8
"Помнится в старом sdu ангиме шиперили хэдов клубов. Давайте ещё раз, у кого какие идеи?",организовать клуб,events,,93.0
admin: Что думаете на счет того что бы чат этого sdu ангме сделать как общий чат для всех сдушников?,сделать общий чат,admin,,120.8
Какой сайт можно создать для улучшения условий в унике или такой же бот например,создать сайт или бот,other,,74.0
Ну если кто то готов лям вкидывать в месяц то можно сделать 🤣🤣🤣,инвестировать лям в месяц,other,,132.2
"админ, никто серьезно не хочет отвечать на посты потому что, скорее всего знакомые тут и т.д Из за этого нормальных комментов нет и вопросы писать им смысла мало admin: что поделать😔 можете тоже через бота отвечать постам просто упоминая, если стесняетесь",использовать бота для ответов,admin,Административный отдел,157.4
lol в чем проблема сказать об этом самому человеку вместо высказываний в анонке попросили и попросили это же не конец света ну да даже просто войти в положение сложно же,говорить напрямую,relationships,,182.6
"Предложите топ 3 суши доставок, макимаки бан\",топ 3 суши доставок,food,,83.8
"Жаңағы закрытый парк туралы ответке көп рақмет, но желательно university жақта емес🫠",другой локации,infrastructure,Административный отдел,84.4
"Когда научился общаться с любимой, как ты делаешь это со своей кошкой – просто делаешь вид, что понимаешь ее, интересуешься как прошел ее день, что она чувствует и желаешь рандомные добрые вещи, так что теперь вы не ссоритесь, ты не злишься, если она не соглашается с тобой и вы просто всегда на одной волне в эмоциональном контакте 😍",имитировать интерес и понимание,relationships,,314.6
"чел который парк в алмате искал, езжай в парк алатау по саина, там ебейший вид, или рощу баума/ботанический сад если хочешь тишины",езжай в парк алатау по саина или рощу баума/ботанический сад,other,,178.2
"Админ. Это я Сага. Я понимаю что ты не раскрываешь себя и чувствуешь какую то безопасность. Но на всякий случай не выкладывай посты как орыскулдар ау мау и тд. Когда меня один раз вызвали на дисциплинарный совет, то угрожали короче такими же постами - разжигание ненависти на почве религий, наций и так далее.",быть осторожным с анонимными постами,admin,,251.0
"совет от меня, ребята. может, кто-то уже знает это, но всё же большое предупреждение. никогда не судите людей по стереотипам. не стоит делать выводы о человеке только потому, что он, например, из Шымкента, или найман, или учится в каком-то определённом университете, или работает по какой-то профессии. это не определяет, какой он на самом деле. жизнь очень непредсказуема. вы можете в итоге подружиться, влюбиться или даже построить семью с тем, кого когда-то осуждали. у меня были подруги, которые раньше прямо терпеть не могли шымкентских парней. а сейчас? их парни настоящие грин флаг, идеальные, добрые, надёжные и, да, шымкентские. так что, правда, не ставьте ярлыки. дайте людям шанс показать, кто они есть на самом деле. часто именно те, кого вы меньше всего ожидали, становятся самыми близкими.",не судить людей по стереотипам,relationships,,267.4
"хватит винить девушек за их не реалистичные стандарты, когда челы сами виноваты, что обращаются с 3/10 так, будто она 10/10",перестать винить и объективно оценивать,relationships,,174.6
"Оказывается, если отказаться от деструктивных долбаебов, вредных привычек и любить любимую, ходить в зал и вести здоровый образ жизни, то жизнь не такая уж и хуевая",отказ от вредных привычек,humor,,304.6
"бля давайте попросим ивент клаб сделать зимний балл, вальс И так далее что ли, зб шарага никаких интересных мероприятии не делает",попросить ивент клаб,events,,321.0
"Майнкрафт сервер конфигурацию обновляем, ато чето лагало, +2 гига озу добавили, примерно через 5 минут заходите смело",добавили 2 ГБ ОЗУ,infrastructure,IT департамент,134.6
"Перваши пока не делайте поспешных выводов, всего 5 недель прошло, вы на первом курсе еще успеете найти себе окружение и друзей. Просто все зависит от вас самих и может быть у вас получится принять и полюбить сду. Сам прошел все то на что вы жалуетесь, но это жизнь, в школе вы были в пузыре, но мир суров…",быть терпеливым и открытым,relationships,,205.6
"те кто пишут что им скучно, что у них нету друзей, lets be friends, компашку создадим из одиночек admin: перваши или одиночки обязательно пишите, компашка это классно особенно в начале уника. Без них все веселье пропустите",создать группу для общения,relationships,,424.8
"перваши, вы просто еще не прочувствовали этот универский вайб, понимаю пока вы не нашли свое окружение или компашку, но знайте это временно. Постарайтесь зайти в клубы по типу ивент, сана, пандап, жаса, арт, ред крессент, дебаты и прочее, уверен там жб найдете с кем можно поугарать, потусоваться, өсеки пускать и итд. И sdu станет не таким уж серым и страшным, просто попробуйте изменить восприятия всего того что вас окружает чисто для себя, как четвераш советую, удачи!)",присоединиться к клубам,relationships,,224.2
давайте студенческий оңай бермегенше автобусқа төлемейік,не платить за автобус,relationships,,131.2
"нах не встречайтесь с бездельниками, это дорога в никуда если он не работает,но при этом учится хорошо то ok если ни то и не другое ☠️",сосредоточиться на продуктивных отношениях,relationships,,143.8
"Дайте бесплатные сайты где можно сделать эссешки хуманайз, чтобы не было видно через прокторинга списание джпт 🙏🏼🙏🏼🙏🏼",бесплатные сайты для написания эссе,academics,,99.4
совет первашам от 4-курсника главное верьте в себя и в свою верю в себя и сможете все пройти,верьте в себя,relationships,,221.6
"На счет домашних обязанностей и тому подобное. Не съезжайтесь с близкими друзьями, это закончится полным пиздецом. Ищите человека, с которым вы будете похожи в бытовом плане. А то позже обычные бытовые ссоры будут сильно влиять на вашу дружбу и просто под конец совместной жизни, вы будете общаться только потому, что живете вместе.",искать совместимых людей,relationships,,274.0
"Перваши до сих пор не получили стипендию?? Помню в свое время скачал приложение халык, а там уже были деньги. Получил до получение карты👍🏻",скачать приложение халык,scholarship,Финансовый отдел,131.8
"Пацаны и пацанессы. Кароч, щуть серезний вапрос. Мой друг хочет отправится по Work&Travel в Americaya. Но из английского он знает только алфавит, дай Боже полностью. Так вот, как ему этот уровень подтянуть хотяб до A2-B1? Учится чел в целом быстро.",учить английский,career,,95.8
"Сделайте кинопоказы в сду, давно их не было, похуй любой аниме не аниме, кино не кино, именно в бочках",организовать кинопоказы в бочках,events,,144.4
Можно сделать отдельный раздел альтушки или нормисы,сделать отдельный раздел,other,,144.0
"А схуяли поставили светофор на киз, и так проблем дохуя, а они еще хуже делают. Пробка болмайтын уакытта пробка жасап. Может как нибудь петиция жаздыртып, алып тастап, сосын 19 поворот замуровать бетоном. Сонда пробка болмайд","убрать светофор, замуровать 19 поворот",infrastructure,Административный отдел,117.6
"admin: та можем петицую собрать если че, открывай кидай ссылку где подписать",собрать петицию,admin,,56.8
"Черная жвачка дирол такая вкусная, дешёвая и жестко освежает Это совет тем, у кого блять без конца рот воняет",жвачка дирол,food,,107.6
"Казак репаблик стипендия тапсырган жандар, куратордан алган мынездеме барма? Маган формат болса болды, озым жазып аламын. Куратор жауап бермиятр",дать формат,scholarship,Финансовый отдел,75.0
"Вижу много постов о том, как парни не могут познакомиться с девушками по тем или иным причинам. Я вас понимаю, когда то и у меня была такая проблема. Но сейчас такой проблемы нет, потому что я понял источник проблемы и решил его. Сейчас я уверенный в себе. Помимо этого есть секретные методы, чтобы в 98% девушка познакомилась с тобой. А для немного продвинутых, есть спец методика, как затащить к себе домой девушку на первом свиданий. Работает в 85%. Пиши в комментариях слово «кунимен» и я отправлю тебе пробный урок из моего курса.",секретные методы,relationships,,105.4
"заебали парни тормозы мозгоёбы, просто сделай шаг, в чем проблема?? вообще фигею с парней, которые тупа ждут пока начнет действовать девушка, 90% вероятность одобрительного ответа, и даже если отказ это не конец света",сделать шаг,relationships,,336.6
"Обращаюсь к парню, который не может забыть бывшую. Ты и не забудешь ее никогда, братан, но тебе надо ее отпустить. То, что ты нашел новую любимую это здорово, я искренне тебе завидую. Даже если ты вспоминаешь ее мимоходом, это не так плохо, но тебе нужно найти силы идти вперед, не оглядываясь назад. По личному опыту скажу, что от своих отношений понял, что у меня есть я и только я. Это пройдет, братан. В конце концов, она станет для тебя лишь воспоминанием, историей, которую попой приятно вспоминать, но не более.",отпустить прошлое и идти вперед,mental_health,,185.4
"гоу создадим чат, игра в числа. кто то кидает число след. должен скинуть следующее число и тд в порядке возрастания, начнем с 1. создам чат если наберётся 25 комментов от normal людей",создать чат для игры,other,,64.4
"Эх, вот бы функцию как возбуждение заблокировать до того момента пока не найдешь себе парня/девушку. Во время возбуждения просто сидишь и смотришь на противоположный пол как мясо, с которым очень сильно хочется заняться любовью",добавить функцию блокировки,other,,203.8
"Я не знаю тебя квекве , но извинись по хорошему . Не надо постить это в sdu ангиме . Иди , и извиняйся перед близким человеком перед кем ты провинился в лс",извиниться лично,relationships,,217.8
Сделайте дайвинчик для студентов sdu 😔,организовать дайвинчик,events,,241.6
или пожалуйста кто может мне установить Майкрософт пжжж помогите 😭😭😭 куплю вам донер если все будет работать🙏,куплю донер за помощь,infrastructure,IT департамент,76.8
"Сделайте свидании вслепую компашками, сука араласатын алам таппай жатырк",организовать свидания вслепую,relationships,,170.6
"Агая можно понять, он сам еще студент и тем более у него 40+ кредитов и есть дополнительная практика, он успевает преподавать нам дискретку, проводить тесты и оказывается помогает некоторым бшшникам с акаунтингом. Так что зря быканули с балами, он же итак нас не мучает",не занижать баллы,teachers,,188.2
"Про пост с девушками без обязательств. Практикую уже какой год, было несколько партнеров,только славянки. Попробуй пообщаться не с казашками,а со славянками,они нормально относятся к этой теме ;)",общение со славянками,relationships,,147.2
"Ебать спасибо ребята вы мне как братья даете нихуевые советы просто иногда хочется какого экстрима с девушками из уника, но я не подумал о том что могут пойти пипец какие слухи лучше я реально просто не буду этого делать",учитывать возможные последствия,relationships,,227.0
"девушки что делали увеличение груди, какие главные минусы можете отметить? стоит это того или нет, капец как хочу сделать (я девушка если что) если хочешь чтобы она была не большой а упругой (хотя на размер тоже немного влияет) попробуй записаться в тренажёрку и делать упражнения на грудные мышцы",заняться спортом,relationships,,51.4
Девушки не бойтесь то что вы не полюбите парня из за роста и будете себя хейтить. Нам парням то же не нравятся полторашки,принимать себя и других,relationships,,256.2
